year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,n_qual,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos
1978,159,"Cleghorn, W.B.",3150,Poaceae,Koeleria capensis,KC,3419BD,-34.375,19.875,C3,1.827,0,-3.8,-27.3,0.6,42.8,71.4,-7.502
1978,160,"Cleghorn, W.B.",3115,Poaceae,Koeleria capensis,KC,3419BD,-34.375,19.875,C3,1.771,22,0.1,-27.6,1.5,43.9,28.8,-7.502
1988,161,"Spies, J.J.",3859,Poaceae,Pentameris pallida,PP,3319AD,-33.375,19.375,C3,1.659,2,-3.6,-29.5,2.5,44.2,17.7,-7.804333333
1948,162,"Liebenberg, L.C.C.",4325,Poaceae,Pentameris pallida,PP,3319AD,-33.375,19.375,C3,1.807,2,-1.6,-29.8,1.5,44.6,29.3,-7.043
1953,163,"Esterhuysen, E.E.",22241,Poaceae,Pentameris pallida,PP,3319AD,-33.375,19.375,C3,1.721,2,1.4,-29.5,1.3,43.9,34.9,-7.010270232
1988,164,"Spies, J.J.",3860,Poaceae,Pentameris pallida,PP,3319AD,-33.375,19.375,C3,1.912,2,8,-29.6,1.6,45.2,28.1,-7.804333333
1973,165,"Esterhuysen, E.E.",33339,Poaceae,Pentameris pallida,PP,3319AD,-33.375,19.375,C3,1.702,0,5.4,-29.9,0.7,45.9,63.4,-7.39275
1979,166,"Goldblatt, P.",5234,Poaceae,Pentameris pallida,PP,3319AD,-33.375,19.375,C3,1.797,2,-2.5,-29.4,1.2,43.8,35.3,-7.539666667
1983,167,"Hilliard, O.M.",16964,Poaceae,Koeleria capensis,KC,2929BC,-29.375,29.625,C3,1.674,1,-2.1,-27,1,42.5,41.5,-7.65725
1978,168,"Smook, L.",1061,Poaceae,Koeleria capensis,KC,2929BC,-29.375,29.625,C3,1.929,2,4.8,-26.4,1.3,43.9,33.1,-7.502
1977,169,"Du Toit, P.C.V.",2503,Poaceae,Koeleria capensis,KC,2929BC,-29.375,29.625,C3,1.81,2,0.2,-26.5,2.2,44.2,20,-7.4844
2004,170,"de Wet, S.F.",861,Poaceae,Koeleria capensis,KC,2929BC,-29.27416667,29.67194444,C3,1.766,2,-1.7,-30.7,1.9,42.8,22.4,-8.176351483
1983,171,"Hilliard, O.M.",16245,Poaceae,Koeleria capensis,KC,2929BC,-29.375,29.625,C3,1.559,2,10.3,-23.7,1.2,44.6,35.9,-7.65725
1918,172,"Mogg, A.O.D.",3271,Poaceae,Koeleria capensis,KC,2929BC,-29.375,29.625,C3,1.701,2,1.4,-26.6,1.7,42.1,25.1,-6.938044526
1975,173,"Du Toit, P.C.V.",696,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.744,2,-3.9,-27.2,1.7,44.2,26.4,-7.417666667
1982,174,"Manning, J.C.",15904,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.803,2,-4.6,-26.5,1.1,43.9,40.8,-7.643
1991,175,"Moss, H.",1770,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.87,2,-7,-25.4,1.3,44.2,34.5,-7.850039383
1962,176,"Acocks, J.P.H.",22153,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.618,2,-0.8,-26.6,1.4,43.4,30.5,-7.091
1975,177,"Du Toit, P.C.V.",704A,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.711,2,-5.3,-28,1.4,44.8,32.3,-7.417666667
1975,178,"Du Toit, P.C.V.",705,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.644,2,-3.4,-27.8,1.4,44.7,32.9,-7.417666667
1975,179,"Du Toit, P.C.V.",703,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.773,2,-3.6,-28.1,1.7,44.2,26.1,-7.417666667
1977,180,"Du Toit, P.C.V.",2299,Poaceae,Koeleria capensis,KC,2929CB,-29.625,29.375,C3,1.921,2,0.4,-26.3,2.5,43.1,17.3,-7.4844
2002,181,"Burgoyne, P.M.",9086,Poaceae,Koeleria capensis,KC,2929CB,-29.61888889,29.3725,C3,1.778,2,-0.3,-29,1.8,40.7,22.6,-8.12401815
1991,182,"Moss, H.",1743,Poaceae,Koeleria capensis,KC,2929AD,-29.375,29.375,C3,1.626,2,0.9,-20.7,1.6,42.5,26.2,-7.850039383
1979,183,"Smook, L.",1383,Poaceae,Koeleria capensis,KC,2929AD,-29.375,29.375,C3,1.758,2,1.2,-25.6,2.2,44.2,20.1,-7.539666667
1951,184,"Killick, D.J.B.",1301,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.85,2,0.4,-25.6,1.2,42.3,36.2,-6.993443595
1914,185,"Symons, R.E.",176,Poaceae,Koeleria capensis,KC,2929AD,-29.375,29.375,C3,1.79,2,-0.8,-25.8,1.4,42.9,30,-6.867667056
1914,186,"Symons, R.E.",158,Poaceae,Koeleria capensis,KC,2929AD,-29.375,29.375,C3,1.787,2,-4.1,-26.9,1.2,41.8,35.6,-6.867667056
1955,187,"Jacot Guillarmod, A.F.M.G.",2360,Poaceae,Koeleria capensis,KC,2929AD,-29.375,29.375,C3,1.822,2,2.3,-26.8,1.3,41.7,31.3,-7.049520585
1955,188,"Jacot Guillarmod, A.F.M.G.",2344,Poaceae,Koeleria capensis,KC,2929AD,-29.375,29.375,C3,1.608,2,-0.2,-25.6,2.7,62.1,22.7,-7.049520585
1919,189,"Bryant, E.G.",A23,Poaceae,Hyparrhenia hirta,HH,2628AA,-26.125,28.125,C4,1.799,2,10.1,-10.4,2.1,45.6,22,-6.94453502
1908,190,"Leendertz, R.",TRV 6168,Poaceae,Hyparrhenia hirta,HH,2628AA,-26.125,28.125,C4,1.771,2,1,-10.1,2.5,44.2,17.5,-6.838275076
1933,191,"Meebold, A.",13885,Poaceae,Hyparrhenia hirta,HH,2628AA,-26.125,28.125,C4,1.665,2,8,-11.9,1.2,42.6,37,-6.912
1937,192,"Cohen, E.",672,Poaceae,Hyparrhenia hirta,HH,2628AA,-26.125,28.125,C4,1.668,2,9.4,-9.3,1.8,42,23.4,-6.95
1998,193,"Reddy, R.A.",1301,Poaceae,Hyparrhenia hirta,HH,2628AA,-26.125,28.125,C4,1.668,0,-5.5,-12.3,0.9,43.4,50.9,-8.051092408
1997,194,"Reddy, R.A.",178,Poaceae,Hyparrhenia hirta,HH,2628AA,-26.125,28.125,C4,1.618,2,-4.6,-12.4,1.8,44.4,25,-8.00226815
1934,195,"van O'Bruyn, O.",154,Poaceae,Hyparrhenia hirta,HH,2628AA,-26.125,28.125,C4,1.726,2,-2.4,-10.4,1.6,44.7,28.6,-6.961154178
1986,196,"Jeffers, L.N.",505,Poaceae,Digitaria eriantha,DE,2627CA,-26.625,27.125,C4,1.725,2,1.8,-12.7,2.5,45.5,18,-7.734
1979,197,"Brooks, W.",85,Poaceae,Digitaria eriantha,DE,2627CA,-26.625,27.125,C4,1.862,2,1.2,-10.9,1.3,42.9,32.8,-7.539666667
1911,198,"Burtt Davy, J.",11459,Poaceae,Digitaria eriantha,DE,2627CA,-26.625,27.125,C4,1.886,2,5,-11.1,2.4,46.1,19,-6.888546675
1988,199,"Saayman, E.J.L.",146,Poaceae,Digitaria eriantha,DE,2627CA,-26.625,27.125,C4,1.811,2,-1.2,-11.8,2.6,43.9,16.8,-7.804333333
1974,200,"Kok, P.",618,Poaceae,Digitaria eriantha,DE,2627CA,-26.625,27.125,C4,1.783,2,1.6,-11.5,1.5,44.2,28.9,-7.483
1931,201,"Pole-Evans, I.B.",3120,Poaceae,Digitaria eriantha,DE,2627CA,-26.625,27.125,C4,1.594,2,2,-10.9,1.9,42.2,22.6,-6.9815
1959,202,"van Rensburg, W.L.J.",248,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.87,2,1.4,-27.2,2.2,42.6,19.6,-7.067
1975,203,"Haynes, R.A.",1199,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.562,2,0.9,-27.3,2.3,47.3,20.6,-7.417666667
1945,204,"Rycroft, H.B.",1034,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.719,2,-2,-31.7,1.2,43.3,36.8,-7.033
1964,205,"Taylor, H.C.",6031,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.869,1,-0.4,-28.5,1,43.8,46,-7.066939165
1974,206,"Ellis, R.P.",2210,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.783,0,1.9,-28.8,0.9,39.2,44.1,-7.483
1961,207,"van der Merwe, P.",25-8,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.811,2,-0.4,-29.4,1.1,39.2,36.9,-7.10056577
1960,208,"van der Merwe, P.",24-26,Poaceae,Pentaschistis pallida,PP,3318DD,-33.875,18.875,C3,1.833,2,-1.4,-27.9,2.6,45.8,17.5,-7.084214775
1944,209,"Liebenberg, LCC",4046,Poaceae,Pentaschistis pallida,PP,3318DD,-33.875,18.875,C3,1.568,0,6.6,-29.5,0.4,40.6,92.3,-7.079100425
1974,210,"Ellis, R.P.",2229,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.912,2,-2.9,-30.4,1.9,45.3,23.5,-7.483
1941,211,"Adamson, R.S.",3277,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.707,2,1.3,-29.4,1.7,44.3,26,-6.999
1949,212,"Esterhuysen, EE",15995,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.901,2,3.6,-29.2,2.5,44.7,18,-7.03233859
1948,213,"Adamson, R.S.",4074,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.777,2,-0.4,-28.8,1.4,43.5,30.9,-7.043
1974,214,"Ellis, R.P.",2263,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.82,2,-0.7,-28.3,2,44.8,22.3,-7.483
1974,215,"Ellis, R.P.",2223,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.755,2,-2.1,-28.7,1.6,44.8,27.4,-7.483
1974,216,"Ellis, R.P.",2262,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.809,2,-0.6,-28.1,1.2,44.3,36.7,-7.483
1969,217,"van der Merwe, C.V.",1320,Poaceae,Pentameris pallida,PP,3318DD,-33.96666667,18.91666667,C3,1.628,0,3.5,-29.6,0.5,43.6,79.5,-7.305
1962,218,"van der Merwe, P.",954,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.725,2,-0.8,-25.2,1.6,44.6,28.4,-7.091
1963,219,"Taylor, H.C.",5586,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.683,0,-3.1,-30.4,0.6,44.2,70.1,-7.055
1902,220,"Marloth, H.W.R.",3036B,Poaceae,Pentameris pallida,PP,3318DD,-33.875,18.875,C3,1.802,0,5.2,-28.2,0.7,41.5,60.8,-6.769743787
1920,221,"Mogg, A.O.D.",6943,Poaceae,Hyparrhenia hirta,HH,2930AC,-29.375,30.125,C4,1.695,2,3.9,-11.5,1.4,44.4,32.6,-6.931
1919,222,"Mogg, A.O.D.",5598,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.723,2,1.2,-26.8,2,44,21.9,-6.94453502
1917,223,"Mogg, AOD",871,Poaceae,Koeleria capensis ,KC,2930AC,-29.375,30.125,C3,1.812,2,-1.9,-28.7,1.2,44.8,36.8,-6.919656769
1917,224,"Mogg, A.O.D.",1256,Poaceae,Hyparrhenia hirta,HH,2930AC,-29.375,30.125,C4,1.742,2,3.6,-11,1.2,42.8,36.1,-6.919656769
1928,225,"Galpin, E.E.",10252,Poaceae,Koeleria Capensis,KC,2930AC,-29.375,30.125,C3,1.728,2,0.8,-26.5,1.8,41.6,23,-6.8392439
1964,226,"Moll, E.J.",1208,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.831,2,0.3,-25.7,1.9,44.7,24.1,-7.066939165
1918,227,"Mogg, A.O.D.",2445,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.757,2,-1.4,-27,2,43.8,21.4,-6.938044526
1947,228,"Acocks, J.P.H.",13873,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.75,2,-4.5,-26.9,1.6,43.7,27.9,-7.013
1918,229,"Mogg, A.O.D.",2411,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.982,2,4.5,-27.3,3.1,42.6,13.9,-6.938044526
1964,230,"Moll, E.J.",1094,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.838,2,-0.3,-28,2.3,41.2,17.8,-7.066939165
1993,231,"Ward, C.J.",12326,Poaceae,Hyparrhenia hirta,HH,2930AC,-29.375,30.125,C4,1.699,0,2.7,-13.4,0.3,44.8,152.9,-7.885608704
1918,232,"Mogg, A.O.D.",1427,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.611,2,4.3,-25.7,3.2,43.6,13.4,-6.938044526
1919,233,"Mogg, A.O.D.",6525,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.933,2,4.4,-19.4,2.2,44.1,19.9,-6.94453502
1918,234,"Mogg, A.O.D.",2391,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.735,2,1.9,-27,2.4,43.1,17.9,-6.938044526
1987,235,"Spies, J.J.",3285,Poaceae,Hyparrhenia hirta,HH,2930AC,-29.375,30.125,C4,1.739,1,NA,-10.6,1.7,47.4,27.8,-7.7495
1917,236,"Mogg, A.O.D.",703,Poaceae,Hyparrhenia hirta,HH,2930AC,-29.375,30.125,C4,1.787,0,NA,-10.2,1.3,45.7,36,-6.919656769
1919,237,"Mogg, A.O.D.",5677,Poaceae,Koeleria capensis,KC,2930AC,-29.375,30.125,C3,1.844,2,2.4,-27.5,2.6,45.6,17.7,-6.94453502
1969,238,"Stehle, T.C.",TS.230,Poaceae,Pentameris densifolia,PP,3319AC,-33.375,19.125,C3,1.729,2,0.8,-31.3,2.6,46.2,17.8,-7.305
1969,239,"Haynes, R.A.",224,Poaceae,Pentameris pallida,PP,3319AC,-33.4,19.08333333,C3,1.66,0,NA,-28.2,1,46.7,45.9,-7.305
1896,240,"Schlechter, F.R.R.",9037,Poaceae,Pentameris pallida,PP,3319AC,-33.375,19.125,C3,1.84,0,NA,-29.1,0.5,45.7,83.8,-6.857648154
1987,241,"Davidse, G.",33951,Poaceae,Pentameris pallida,PP,3319AC,-33.375,19.125,C3,1.815,0,NA,-30.8,1.5,43.6,28.7,-7.7495
1987,242,"Davidse, G.",33954,Poaceae,Pentameris pallida,PP,3319AC,-33.375,19.125,C3,1.589,0,NA,-30.3,1.8,44.8,25.3,-7.7495
1964,243,"Taylor, H.C.",6141,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.746,0,NA,-27,0.5,46.1,87.2,-7.066939165
1988,244,"Spies, J.J.",3840,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.786,0,NA,-27.4,1.4,44.9,32.1,-7.804333333
1987,245,"Ellis, R.P.",5508,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.883,0,NA,-27.4,1,47.4,48.4,-7.7495
1950,246,"Esterhuysen, E.E.",18158,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.647,0,NA,-29.2,0.6,46.1,74.9,-7.006
1987,247,"Ellis, R.P.",5507,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.684,0,NA,-27.6,0.7,42.8,58.3,-7.7495
1997,248,"Spies, J.J.",6329,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.883,0,NA,-28.6,1.5,45.1,29.4,-8.00226815
1989,249,"le Maitre, D.C.",603,Poaceae,Pentameris pallida,PP,3219AC,-32.35,19.03333333,C3,1.951,2,4,-29,1.9,44.3,23.3,-7.824
1988,250,"Spies, J.J.",3828,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.891,2,4.8,-29.6,2.4,46.6,19.3,-7.804333333
1987,251,"Ellis, R.P.",5588,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.723,1,NA,-27.4,1.7,45.7,27.2,-7.7495
1988,252,"Spies, J.J.",3845,Poaceae,Pentameris pallida,PP,3219AC,-32.375,19.125,C3,1.86,2,11.1,-27,2.5,44.5,17.6,-7.804333333
2004,253,"de Wet, S.F.",863,Poaceae,Koeleria capensis,KC,2430DD,-24.87055556,30.8425,C3,1.956,2,2.6,-27.1,2.2,47.1,21.6,-8.176351483
1979,254,"Kluge, J.P.",1964,Poaceae,Koeleria capensis,KC,2430DD,-24.875,30.875,C3,1.786,2,3.3,-27.1,2,45.4,22.6,-7.539666667
1983,255,"Ellis, R.P.",4314,Poaceae,Koeleria capensis,KC,2430DD,-24.875,30.875,C3,1.865,2,0.6,-24.9,1.9,47,25.2,-7.65725
1988,256,"Saayman, E.J.L.",91,Poaceae,Koeleria capensis,KC,2430DD,-24.875,30.875,C3,1.775,0,NA,-27.4,1,44.9,45.1,-7.804333333
1951,257,"Codd, L.E.W.",6718,Poaceae,Koeleria capensis,KC,2430DD,-24.875,30.875,C3,1.862,0,NA,-27.4,1.3,45.7,36.5,-6.993443595
1988,258,"Burgoyne, P.M.",49,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.842,0,NA,-27.7,0.7,36.6,49.5,-7.804333333
1988,259,"Saayman, E.J.L.",112,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.908,1,NA,-25.9,1.6,46.3,29,-7.804333333
1988,260,"Saayman, E.J.L.",115,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.733,2,-2.3,-27.4,1.9,45.2,23.8,-7.804333333
2001,261,"Hankey, A.J.",1300,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.68,0,NA,-25.5,1,47.4,47.5,-8.074354535
1947,262,"Codd, L.E.W.",3230,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.777,2,3.3,-27,1.9,45.8,23.5,-7.013
1984,263,"Spies, J.J.",1565A,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.817,2,3.1,-27.5,3,45.3,15.1,-7.6955
1980,264,"Drews, B.K.",127,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.641,1,NA,-26.5,1.8,46.7,26,-7.5705
1980,265,"Drews, B.K.",173,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.702,1,NA,-26,1.7,48.4,28.1,-7.5705
1932,266,"Galpin, E.E.",s13160,Poaceae,Koeleria capensis,KC,2530AC,-25.375,30.125,C3,1.705,2,0.3,-26.7,2,46.6,23,-6.906
1988,267,"Saayman, E.J.L.",90,Poaceae,Koeleria capensis,KC,2430DD,-24.875,30.875,C3,1.806,0,NA,-27.9,1.2,45.4,37.1,-7.804333333
1983,268,"du Toit, G.J.",1002,Poaceae,Digitaria eriantha,DE,2430AA,-24.125,30.125,C4,1.686,0,NA,-12.7,1.6,45.5,27.9,-7.65725
1983,269,"du Toit, G.J.",1000,Poaceae,Digitaria eriantha,DE,2430AA,-24.125,30.125,C4,1.68,2,5.2,-11.9,2.3,44.1,19,-7.65725
1919,270,"Junod, H.A.",4086,Poaceae,Digitaria eriantha,DE,2430AA,-24.125,30.125,C4,1.552,0,NA,-9.4,1.2,46.1,38.8,-6.94453502
1979,271,"du Toit, G.J.",224,Poaceae,Digitaria eriantha,DE,2430AA,-24.125,30.125,C4,1.569,1,NA,-12.1,2,45.5,23.2,-7.539666667
1978,272,"du Toit, G.J.",140,Poaceae,Digitaria eriantha,DE,2430AA,-24.125,30.125,C4,1.85,2,2.9,-11.7,2.4,46.6,19.6,-7.502
1984,273,"du Toit, G.J.",1003,Poaceae,Digitaria eriantha,DE,2430AA,-24.125,30.125,C4,1.741,2,1.7,-12.6,1.8,47.1,25.7,-7.6955
1978,274,"du Toit, G.J.",118,Poaceae,Digitaria eriantha,DE,2430AA,-24.125,30.125,C4,1.841,2,7.7,-11.4,2.7,48.8,18.2,-7.502
1904,275,"Burtt Davy, J.",PRE 1283,Poaceae,Digitaria eriantha,DE,2529CD,-25.875,29.375,C4,1.744,2,0.7,-9.7,1.9,45.7,24.1,-6.800354561
1974,276,"Wilson, D.",PFS12A,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.66,0,NA,-10.6,1.7,48.1,28.8,-7.483
1909,277,"Huntley, B.J.",1018,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.687,0,NA,-10.4,1.2,44,37.1,-6.867665308
1974,278,"Wilson, D.",PFS 12,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.669,0,NA,-11.5,1.4,48.1,33.6,-7.483
1968,279,"Huntley, B.J.",972,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.688,1,NA,-10.2,1.7,46.9,28.2,-7.336012423
1974,280,"Leendertz, R.",1887,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.779,1,NA,-9.6,1.7,45.4,26.4,-7.483
1921,281,"Knothe, C.",PRE 7960,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.863,2,1.7,-11,2.1,46.3,22.3,-6.89513872
1967,282,"Ellis, R.P.",2050,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.868,2,2.1,-10.3,1.8,48,26.9,-7.333
1967,283,"Huntley, B.J.",1556,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.8,2,0.2,-11.9,2,47.3,23.8,-7.333
1929,284,"Galpin, E.E.",8874,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.639,2,3.5,-10.5,2.4,44.3,18.3,-6.841285714
1968,285,"Huntley, B.J.",1193,Poaceae,Digitaria eriantha,DE,2429AA,-24.125,29.125,C4,1.665,1,NA,-12,1.8,45,24.8,-7.336012423
1947,286,"Wilman, M.",PRE 34692,Poaceae,Pentameris pallida,PP,3322DC,-33.875,22.625,C3,1.744,2,-1.6,-29.4,1.9,48.3,25.5,-7.013
1988,287,"Ellis, R.P.",5821,Poaceae,Pentameris pallida,PP,3322DC,-33.875,22.625,C3,1.757,0,NA,-30,1.1,45.9,41.5,-7.804333333
1988,288,"Ellis, R.P.",5820,Poaceae,Pentameris pallida,PP,3322DC,-33.875,22.625,C3,1.667,0,NA,-30.6,1.4,46.1,34.1,-7.804333333
1973,289,"Kok, P.D.F.",493,Poaceae,Digitaria eriantha,DE,2626DD,-26.875,26.875,C4,1.746,0,NA,-11.3,1.3,46,36.2,-7.39275
1931,290,"Pole-Evans, I.B.",3121,Poaceae,Digitaria eriantha,DE,2626DD,-26.875,26.875,C4,1.858,2,2.6,-10.5,1.7,45.3,26,-6.9815
1974,291,"Kok, P.D.F.",617,Poaceae,Digitaria eriantha,DE,2626DD,-26.875,26.875,C4,1.969,2,6.2,-10.9,2.9,46.1,16.1,-7.483
1931,292,"Pole-Evans, I.B.",3123,Poaceae,Digitaria eriantha,DE,2626DD,-26.875,26.875,C4,1.943,0,NA,-10.5,1.4,45.2,32.7,-6.9815
1931,293,"Goossens, A.P.G.",869,Poaceae,Digitaria eriantha,DE,2827DD,-28.875,27.875,C4,1.846,2,5,-10.5,2,43.5,21.8,-6.9815
1970,294,"Jarman, N.G.",46,Poaceae,Digitaria eriantha,DE,2827DD,-28.875,27.875,C4,1.628,0,NA,-11.1,1,45.5,45.2,-7.318156423
1970,295,"Jarman, N.G.",122,Poaceae,Digitaria eriantha,DE,2827DD,-28.875,27.875,C4,1.718,1,NA,-11,1.8,45.5,25.1,-7.318156423
1972,296,"Loxton, A.E.",948,Poaceae,Digitaria eriantha,DE,2827DD,-28.875,27.875,C4,1.601,2,9.6,-10.2,2.9,45.5,15.6,-7.356
1931,297,"Goossens, A.P.G.",808,Poaceae,Digitaria eriantha,DE,2827DD,-28.875,27.875,C4,1.702,2,2.2,-10.7,2.9,46.2,16.1,-6.9815
1926,298,"Bayer, A.J.W.",274,Poaceae,Koeleria capensis,KC,2828DD,-28.875,28.875,C3,1.683,0,NA,-25.5,1,43.6,45.5,-6.966800343
1987,299,"Panagos, M.D.",53,Poaceae,Koeleria capensis,KC,2828DD,-28.875,28.875,C3,1.819,2,0.8,-27.1,2.1,44.6,21.3,-7.7495
1946,300,"Schelpe, EACLE",1399,Poaceae,Koeleria capensis,KC,2828DD,-28.875,28.875,C3,1.86,0,NA,-24.9,1.3,46.7,36.5,-6.983
1978,301,"Smook, L.",1044,Poaceae,Koeleria capensis,KC,2828DD,-28.875,28.875,C3,1.813,0,NA,-26.3,1.3,46,34.4,-7.502
1955,302,"Edwards, D.",640,Poaceae,Koeleria capensis,KC,2828DD,-28.875,28.875,C3,1.804,0,NA,-26.6,0.6,45.2,81.9,-7.049520585
1962,303,"Lubke, R.A.",254,Poaceae,Koeleria capensis,KC,2828DD,-28.875,28.875,C3,1.706,0,NA,-25.1,1.4,46.3,33.8,-7.091
1972,304,"Ellis, R.P.",1025,Poaceae,Digitaria eriantha,DE,2428DA,-24.625,28.625,C4,1.672,0,NA,-11.5,1.6,45.7,29.1,-7.356
1975,305,"Du Toit, P.C.V.",526,Poaceae,Digitaria eriantha,DE,2428DA,-24.625,28.625,C4,1.771,2,5.2,-10.5,1.9,46.3,23.9,-7.417666667
1929,306,"Donisthorpe, A.",1,Poaceae,Digitaria eriantha,DE,2428DA,-24.625,28.625,C4,1.827,2,4.6,-10.2,2.4,47.2,19.6,-6.841285714
1975,307,"Du Toit, P.C.V.",483,Poaceae,Digitaria eriantha,DE,2428DA,-24.625,28.625,C4,1.93,0,NA,-11.2,0.5,48.1,91.2,-7.417666667
1975,308,"Du Toit, P.C.V.",595,Poaceae,Digitaria eriantha,DE,2428DA,-24.625,28.625,C4,1.728,0,NA,-10.7,0.6,46.3,77.1,-7.417666667
1919,309,"Galpin, E.E.",393,Poaceae,Digitaria eriantha,DE,2428DA,-24.625,28.625,C4,1.988,1,NA,-9.9,1.5,42.7,29.4,-6.94453502
1950,310,"Killick, D.J.B.",946,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.857,0,NA,-25.5,1.3,45.9,34.3,-7.006
1979,311,"Smook, L.",1377,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.769,0,NA,-26.3,1.4,47.5,33.5,-7.539666667
1979,312,"Smook, L.",1376,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.792,1,NA,-26.1,1.7,45.7,26.9,-7.539666667
1973,313,"Ellis, R.P.",1431,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.859,2,3.5,-24.6,1.8,46.8,25.3,-7.39275
1979,314,"Smook, L.",1371,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.893,2,-1.6,-25.7,1.8,44.6,25.4,-7.539666667
1978,315,"Smook, L.",1084,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.801,2,-0.5,-26.5,2.1,44.7,21.3,-7.502
1973,316,"Ellis, R.P.",1412,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.789,0,NA,-26.7,1.2,44.5,38.5,-7.39275
1979,317,"Smook, L.",1379,Poaceae,Koeleria capensis,KC,2829CC,-28.875,29.125,C3,1.615,1,NA,-26.6,1.8,45,25.5,-7.539666667
