year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,n_qual,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos
1932,37,"Smith, C.A.",6070,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.676,2,3.4,-10.7,2,42.7,21,-6.906
1932,38,"Mogg, A.O.D.",12330,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.651,2,6.8,-9.5,2.5,43.5,17.3,-6.906
1953,39,de Wet,23A,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.847,2,3.2,-10.1,1.3,41.7,33,-7.010270232
1932,40,"Smith, C.A.",6238,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.531,2,3,-10.3,1.3,42,32.7,-6.906
1972,41,"Ellis, R.P.",1327,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.898,2,6.7,-11.7,1.7,42.9,25.5,-7.356
1932,42,"Smith, C.A.",6072,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.856,2,5.2,-10.7,1.4,41.1,28.6,-6.906
1972,43,"Ellis, R.P.",1028,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.784,2,1.8,-10.9,2.6,44.5,17.3,-7.356
1932,44,"Smith, C.A.",6078,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.983,2,4.4,-10.4,1.7,42.8,25.6,-6.906
1924,45,"Dickson, J.",PRE 54,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.907,2,1.7,-9.5,1.2,42.4,35.9,-6.887
1978,46,"Manders, R.",1,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.945,2,1.5,-12.1,1,42.6,41.3,-7.502
1913,47,Theiler,TRV 26678,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.845,2,7.2,-10.3,1.9,40.5,21.7,-6.867
1905,48,"Burtt Davy, J.",3802,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.546,2,5.7,-11.1,1.7,39.5,23,-6.829
1970,49,"Ellis, R.P.",126,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.621,2,5.3,-11.5,2,42.4,21.6,-7.318156423
1926,50,"Smith, C.A.",2296,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.823,2,12.2,-10.5,3.3,44.1,13.5,-6.966800343
1908,51,"Leendertz, R.",TRV 3886,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.642,0,0.4,-10.2,0.6,43.1,71.7,-6.838275076
1931,52,"Mogg, A.O.D.",16472,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.788,2,3,-11.3,1.2,43.5,37,-6.9815
1919,53,"Stent, S.M.",PRE 19939,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.738,2,5.9,-10.2,1.2,42,35.7,-6.94453502
1976,54,"Du Toit, P.C.V.",1527,Poaceae,Hyparrhenia hirta,HH,3318CD,-33.875,18.375,C4,1.64,0,3,-11.1,0.9,43.9,47.7,-7.4425
1935,55,"Esterhuysen, E.E.",589,Poaceae,Koeleria capensis,KC,3318CD,-33.875,18.375,C3,1.938,2,1.2,-27.4,1.3,42.2,31.9,-6.976
1897,56,"Wolley-Dod, A.H.",3558,Poaceae,Pentameris pallida,PP,3318CD,-33.95,18.46666667,C3,1.63,2,5.6,-29,1.6,41.4,25.9,-6.796333333
1916,57,"Bolus, F.",14960,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.873,2,3.9,-27.8,1.3,40.7,30.5,-6.8975
1902,58,"Marloth, H.W.R.",3049,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.955,2,-0.3,-27.5,1.3,43.6,33.9,-6.769743787
1940,59,"Esterhuysen, E.E.",11753,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.744,1,2,-28.5,1,42.7,43.7,-6.938
1974,60,"Ellis, R.P.",2307,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.524,1,4.9,-28.9,1.1,42.6,39.2,-7.483
1919,61,"Andreae, H.",85,Poaceae,Pentameris pallida,PP,3318CD,-33.875,18.375,C3,1.617,0,-1.5,-28.4,0.9,43.7,46.6,-6.94453502
