site,type,depth,age,d13,unc
SOUTH POLE 95,firn,68.35,1983,-7.66,0.021
DE08-2,firn,75,1983,-7.638,0.021
DSSW20K,firn,44.5,1983,-7.674,0.038
SOUTH POLE 95,firn,59.99,1984,-7.704,0.021
SOUTH POLE 95,firn,59.99,1984,-7.687,0.021
DE08-2,firn,70,1985,-7.706,0.021
DE08-2,firn,65,1986,-7.732,0.021
DE08-2,firn,60,1986,-7.762,0.021
SOUTH POLE 95,firn,50.12,1986,-7.695,0.135
SOUTH POLE 95,firn,50.12,1986,-7.747,0.022
DE08-2,firn,55,1987,-7.747,0.022
DE08-2,firn,55,1987,-7.752,0.022
DE08-2,firn,40,1988,-7.817,0.021
SOUTH POLE 95,firn,39.82,1988,-7.81,0.023
SOUTH POLE 95,firn,39.82,1988,-7.786,0.023
DE08-2,firn,30,1989,-7.824,0.021
DSSW20K,firn,41.7,1989,-7.824,0.032
SOUTH POLE 95,firn,30.04,1990,-7.848,0.023
SOUTH POLE 95,firn,30.04,1990,-7.854,0.023
DE08-2,firn,20,1990,-7.827,0.021
DE08-2,firn,15,1991,-7.827,0.02
DE08-2,firn,10,1991,-7.855,0.02
DSSW20K,firn,37.8,1992,-7.882,0.035
DE08-2,firn,0,1993,-7.898,0.02
SOUTH POLE 95,firn,10.07,1993,-7.882,0.021
SOUTH POLE 95,firn,10.07,1993,-7.885,0.021
SOUTH POLE 95,firn,0,1995,-7.947,0.021
SOUTH POLE 95,firn,0,1995,-7.958,0.021
SOUTH POLE 95,firn,0,1995,-7.959,0.021
SOUTH POLE 95,firn,0,1995,-7.926,0.021
SGA,firn,0,1998,-8.06,0.02
SOUTH POLE 2001,firn,0,2001,-8.075,0.009
SOUTH POLE 2001,firn,0,2001,-8.064,0.02
